Identifiant par défaut;Nom de l'établissement;Adresse de l'établissement;Adresse secondaire de l'établissement;Code postal;Commune;Code cedex;Numéro de téléphone de l'établissement;Numéro de téléphone secondaire de l'établissement;Numéro de fax;Courriel;Site internet;Capacité de l'établissement;Les tarifs de l'établissement;Les ouvertures de l'établissement;Première classification;Deuxième classification;Appartenance au label Vignobles et Découvertes;Appartenance à la marque Accueil Vélo, accueil et services adaptés aux touristes à vélo;Appartenance à la marque Loire à Vélo, accueil et services adaptés aux touristes à vélo;Itinéraire européen. Présentation des établissements se trouvant proche de l'itinéraire;Prise en charge du handicap moteur du label Tourisme et Handicap;Prise en charge du handicap mental du label Tourisme et Handicap;Prise en charge du handicap auditif du label Tourisme et Handicap;Prise en charge du handicap visuel du label Tourisme et Handicap;"Classement ""cocottes"" spécifique aux hébergements de qualité Logis";Appartenance de l'établissemant aux chaînes hôtelières;Appartenance de l'établissemant aux labels restaurants, à la marque HOTELcert, déposée du Groupe AFNOR;Classement de l'établissement en épi, étoile, clé selon le LABEL_1;Appartenance de l'établissement aux labels restaurants, à la marque HOTELcert, déposée du Groupe AFNOR;Classement de l'établissement en épi, étoile, clé selon le LABEL_2;Appartenance de l'établissement au label écologique Européen - Catégorie 1;Appartenance de l'établissement au label écologique Européen - Catégorie 2;Zones géographique du département;Etablissement disposant d'un restaurant;Etablissement disposant d'un parking;Etablissement disposant d'une piscine;Etablissement disposant d'un spas, sauna, hammam;Etablissement acceptant les animaux;Etablissement disposant d'une salle de réunion;Personnel de l'établissement parlant;Personnel de l'établissement parlant;Personnel de l'établissement parlant;Personnel de l'établissement parlant;Base tarif 1 de l'établissement;Base tarif 2 de l'établissement;Chèques Vacances acceptés par l'établissement;Capacité, en personnes;Capacité, en chambres;_l
66;SAINT PATRICK;7 Rue Saint Nicolas;;44000;NANTES;;02 40 48 48 80;;01 58 16 57 87;hotel.saint-patrick@orange.fr;www.hotel-saintpatrick.com;24 chambres;De 49 à 58 Euros;Fermé du 25/12 au 02/01/2013;Hôtels;;;;;;;;;;;;;;;;;;;;;;;;;anglais;espagnol;;;;;oui;;24;[ 47.2149893 , -1.5569885]
67;HOTEL MERCURE NANTES CENTRAL;4 Rue du Couëdic;;44000;NANTES;;02 51 82 10 00;;02 51 82 10 10;H1985@accor-hotels.com;www.mercure.com/mercure/;162 chambres;De 90 à 245 Euros;;Hôtels;;;;;;;;;;;Mercure;;;Hotel Cert;;;;;;oui;;;oui;;allemand;anglais;espagnol;;;;oui;;162;[ 47.2140307 , -1.5570159]
68;BOURGOGNE (DE);9 Allée du Commandant Charcot;;44000;NANTES;;02 40 74 03 34;;02 40 14 03 86;bourgogne.hotel@wanadoo.fr;;40 chambres;De 60 à 140 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;;;;oui;;anglais;italien;;;;;oui;;40;[ 47.2175153 , -1.5444838]
69;GRASLIN (LE);1 rue Piron;;44000;NANTES;;02 40 69 72 91;;02 40 69 04 44;info@hotel-graslin.com;www.hotel-graslin.com;47 chambres;De 69 à 135 Euros;;Hôtels;;;oui;oui;oui;;;;;;Citotel;;;Hotel Cert;;;;;;;;;oui;;anglais;;;;;;oui;;47;[ 47.2122634 , -1.5617997]
70;ALL SEASONS NANTES CENTRE;3, Rue du Couëdic;;44000;NANTES;;02 40 35 74 50;;02 40 20 09 35;allseasons.nantes@orange.fr;www.all-seasons-hotels.com;65 chambres;De 65 à 205 Euros;;Hôtels;;;;;;;;;;;All seasons;;;;;;;;oui;;;;oui;;anglais;;;;;;oui;;65;[ 47.21405815 , -1.55706149]
71;COMFORT HOTEL NANTES ASTORIA;4, allée du commandant Charcot;;44000;NANTES;;02 40 74 39 90;;02 40 14 05 49;contact@astorianantes.com;www.hotelastorianantes.com;43 chambres;De 49 à 95 Euros;;Hôtels;;;oui;oui;oui;;;;;;Choise hôtels;;;;;;;;;oui;;;oui;;anglais;espagnol;italien;;;;oui;;43;[ 47.2177212 , -1.5437635]
72;CHATEAUBRIAND;2 bis, Rue Châteaubriand;;44000;NANTES;;02 40 20 22 38;;02 51 82 45 16;hotelchateaubriand@wanadoo.fr;www.hotel-chateaubriand-nantes.com;18 chambres;De 54 à 61 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;anglais;;;;;;;;18;[ 47.2213706 , -1.5551214]
73;CHOLET (LE);10, Rue Gresset;;44000;NANTES;;02 40 73 31 04;;02 40 73 78 82;hotel.cholet@wanadoo.fr;www.hotelcholet-nantes.com;40 chambres;De 57 à 110 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;;;;;;anglais;;;;;;oui;;40;[ 47.2119767 , -1.5644658]
74;COEUR DE LOIRE;3, Rue Anatole Le Braz;;44000;NANTES;;02 40 74 35 61;;02 40 74 09 25;contact@coeurdeloirehotel.com;www.coeurdeloirehotel.com;15 chambres;De 50 à 60 Euros;;Hôtels;;;oui;oui;oui;;;;;;;;;;;;;;;;;;;;anglais;;;;;;oui;;15;[ 47.2288626 , -1.5623002]
75;IBIS STYLE NANTES PLACE GRASLIN ;5, rue du Chapeau Rouge;;44000;NANTES;;02 40 48 79 76;;02 40 12 49 25;hoteldescolonies@free.fr;www.hoteldescolonies.fr;38 chambres;De 75 à 125 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;;;;;;anglais;espagnol;italien;;;;oui;;38;[ 47.214981 , -1.5602717]
76;HOTEL DE LA GARE - CITOTEL;5, Allée du Commandant Charcot;;44000;NANTES;;02 40 74 37 25;;02 40 93 33 71;contact@hotel-gare-nantes.com;www.hotel-gare-nantes.com;28 chambres;De 54 à 90 Euros;;Hôtels;;;;;;;;;;;Citotel;;;;;;;;;;;;oui;;allemand;anglais;espagnol;;;;oui;;28;[ 47.2172487 , -1.54506201]
77;GRAND HOTEL DE NANTES;2 bis, Rue Santeuil;;44000;NANTES;;02 40 73 46 68;;02 40 69 65 98;grandhotel-nantes@wanadoo.fr;www.grandhotel-nantes.com;41 chambres;De 59 à 89 Euros;;Hôtels;;;;;;;;;;;Inter Hotel;;;Hotel Cert;;;;;oui;;;;oui;;anglais;;;;;;oui;;41;[ 47.2127304 , -1.560239]
78;POMMERAYE;2, Rue Boileau;;44000;NANTES;;02 40 48 78 79;;02 40 47 63 75;resa@hotel-pommeraye.com;www.hotel-pommeraye.com;50 chambres;De 59 à 164 Euros;;Hôtels;;;;;;;;;;;Citotel;;;Hotel Cert;;CléVerte;;;;;;;oui;;anglais;espagnol;italien;;;;oui;;50;[ 47.2141747 , -1.5604036]
79;SURCOUF (LE);38, Rue de Richebourg;;44000;NANTES;;02 40 74 17 25;;02 40 93 33 29;hotelsurcouf@wanadoo.fr;www.hotelsurcouf.fr;38 chambres;De 66 à 82 Euros;;Hôtels;;;;;;;;;;;Inter Hotel;;;;;;;;;;;;oui;;anglais;espagnol;;;;;oui;;38;[ 47.2173056 , -1.5465149]
80;TERMINUS;3, Allée du Commandant Charcot;;44000;NANTES;;02 40 74 24 51;;02 40 74 44 11;contact@hotel-terminus-nantes.com;www.hotel-terminus-nantes.com;36 chambres;De 58 à 68 Euros;;Hôtels;;;;;;;;;;;Contact Hotel;;;;;;;;;;;;oui;;anglais;;;;;;oui;;36;[ 47.2177968 , -1.5436515]
81;ABAT JOUR;17, Rue Geoffroy Drouet;;44000;NANTES;;02 40 74 35 95;;02 40 74 34 92;abat.jour@wanadoo.fr;www.hotelabatjour.com;15 chambres;De 46 à 73 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;;;;;;anglais;;;;;;oui;;15;[ 47.2217484 , -1.5485505]
82;BOURSE (DE LA);19, Quai de la Fosse;;44000;NANTES;;02 40 69 51 55;;02 40 71 73 89;;;20 chambres;De 27 à 37 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;;;;oui;;anglais;;;;;;oui;;20;[ 47.2113044 , -1.5609426]
83;CHATEAU (DU);5, Place de la Duchesse Anne;;44000;NANTES;;02 40 74 17 16;;;hotelduchateau44@orange.fr;www.hotelduchateau-nantes.fr;12 chambres;De 45 à 55 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;;;;;;anglais;espagnol;;;;;oui;;12;[ 47.217399 , -1.5475068]
84;GRAND MONARQUE (DU);36, Rue du Maréchal Joffre;;44000;NANTES;;02 40 74 02 40;;02 40 89 11 99;grand-monarque@wanadoo.fr;www.hotel-grand-monarque.com;30 chambres;De 49 à 89 Euros;;Hôtels;;;;;;;;;;;Inter Hotel;;;Hotel Cert;;;;;;oui;;;;;anglais;;;;;;oui;;30;[ 47.2215425 , -1.5476867]
85;OCEAN (L');11, Rue du Maréchal de Lattre de Tassign;;44000;NANTES;;02 40 69 73 51;;02 40 69 17 46;info@hotel-nantes.com;www.hotel-nantes.com;24 chambres;De 45 à 50 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;anglais;;;;;;oui;;24;[ 47.2119726 , -1.5613686]
86;ORLEANS (D');12, Rue du Marais;;44000;NANTES;;02 40 47 69 32;;02 51 82 34 66;hoteldorleansnantes@free.fr;www.nantes-hotel-dorleans.com;15 chambres;De 52 à 62 Euros;;Hôtels;;;oui;;oui;;;;;;;;;;;;;;;;;;;;anglais;;;;;;oui;;15;[ 47.2181812 , -1.5566763]
87;RENOVA;11, Rue Beauregard;;44000;NANTES;;02 40 47 57 03;;02 51 82 06 39;hotelrenova@hotmail.com;www.hotel-renova.com;24 chambres;De 43 à 53 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;;;;oui;;anglais;espagnol;;;;;oui;;24;[ 47.2148963 , -1.5551454]
88;SAINT DANIEL;4, Rue du Bouffay;;44000;NANTES;;02 40 47 41 25;;02 51 72 03 99;hotel.st.daniel@wanadoo.fr;www.hotel-saintdaniel.com;19 chambres;De 50 à 72 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;;;;;;anglais;;;;;;;;19;[ 47.214944 , -1.5540503]
89;TOURISME (DU);5, Allée Duquesne - Cours des 50 Otages;;44000;NANTES;;02 40 47 90 26;;02 40 35 57 25;hotel.du.tourisme@wanadoo.fr;www.hotel-dutourisme.com;19 chambres;De 49 à 78 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;;;;;;anglais;;;;;;;;19;[ 47.2185047 , -1.5446583]
90;SAINT YVES;154, Rue du Général Buat;;44000;NANTES;;02 40 74 48 42;;02 40 72 41 64;galina.garry@gmail.com;www.hotel-saintyves.fr;10 chambres;De 37 à 55 Euros;;Hôtels;;;oui;oui;;;;;;;;;;;;;;;;;;;oui;;anglais;espagnol;;;;;oui;;10;[ 47.2262831 , -1.5433098]
91;LE RELAIS DE LA GRANGE;P.A La Pancarte;Rue d'Anjou;44390;NORT-SUR-ERDRE;;02 51 12 60 57;;02 51 12 01 76;contact@relaislagrange.com;http://www.relaislagrange.com/;20 chambres;De 66 à 71 Euros;;Hôtels;;;;;;oui;oui;oui;oui;1 cocotte;;;;;;;;Canal de Nantes à Brest et Pays de Redon;;oui;;;oui;;anglais;;;;;;oui;;20;[ 47.4371021 , -1.4817221]
92;INTER HOTEL AGORA;31, Rue Jules Verne;;44700;ORVAULT;;02 51 78 53 58;08 26 10 39 09;02 51 78 83 30;ha4412@inter-hotel.com;www.hotel-agora-nantes.com;45 chambres;De 55 à 85 Euros;;Hôtels;;;;;;;;;;;Inter Hotel;;;;;;;;;oui;;;oui;;anglais;;;;;;oui;;45;[ 47.2520846 , -1.6190518]
93;CITOTEL ALBERT;129/131, route de Rennes;;44700;ORVAULT;;02 40 76 76 08;;02 40 40 58 24;citotelalbert@wanadoo.fr;www.citotel.com;23 chambres;De 45 à 48 Euros;;Hôtels;;;;;;;;;;;Citotel;;;;;;;;;oui;;;;;anglais;;;;;;oui;;23;[ 47.2557713 , -1.5778318]
94;BEAU SOLEIL;70 quai Leray;Place du Petit Nice;44210;PORNIC;;02 40 82 34 58;;02 40 82 43 00;contact@hotel-beausoleil-pornic.com;www.hotel-beausoleil-pornic.com;17 chambres;De 68 à 130 Euros;Ouvert toute l'année;Hôtels;;;;;;;;;;;;;;;;;;;;;;;oui;;anglais;;;;;;oui;;17;[ 47.1146701 , -2.1050726]
95;BRIT HOTEL LES ALIZES;44 rue du Général de Gaulle;;44210;PORNIC;;02 40 82 00 51;;02 40 82 87 32;alizes@brithotel.fr;www.brithotel.fr/fr/hotel-brit-hotel-les-alizes-pornic-c0-93608-148-0.html;29 chambres;De 62 à 76 Euros;Ouvert toute l'année;Hôtels;;;;;;oui;;;;;Brit Hotel;;;;;;;;;oui;;;oui;;anglais;;;;;;oui;;29;[ 47.1137768 , -2.0927467]
96;ARC EN CIEL;Les Gentelleries;Route de Nantes;44210;PORNIC;;02 28 53 00 22;;02 28 53 01 24;hotel.arcenciel@cegetel.net;www.hotel-arc-en-ciel.fr;30 chambres;De 44,8 à 52,5 Euros;Ouvert toute l'année;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;anglais;;;;;;oui;;30;[ 47.112836 , -2.0837673]
97;NUIT DE RETZ;Zone de Loisirs - rue du Grand Pré;Route de Nantes Pornic;44710;PORT-SAINT-PERE;;02 40 57 91 14;;02 40 47 73 49;nuitderetz@orange.fr;www.hotel-nuitderetz.com;44 chambres;A partir de 80 Euros;A l'année;Hôtels;;;;;;oui;oui;oui;oui;;;;;;;;;;;oui;;oui;;oui;anglais;espagnol;;;;;oui;;44;[ 47.134543 , -1.7473586]
98;PREMIERE CLASSE - REZE;4, impasse Ordronneau;CP 2511;44406;REZE;;08 92 70 72 40;;02 40 32 30 58;;www.premiereclasse.fr;74 chambres;;;Hôtels;;;;;;;;;;;Première Classe;;;;;;;;;oui;;;oui;;anglais;;;;;;oui;;74;[ 47.1847391 , -1.5460755]
99;CHEVAL BLANC (DU);50, Rue de la Commune;;44400;REZE;;02 40 75 65 07;;02 40 75 92 48;hotelduchevalblanc@wanadoo.fr;www.hotel-duchevalblanc.com;20 chambres;De 60 à 85 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;anglais;espagnol;;;;;;;20;[ 47.2181665 , -1.5539656]
100;L'ESTUAIRE;Parc d'Activités de la Guerche;Rue de Lieutenant Maurice Legris;44250;SAINT-BREVIN;;02 40 27 39 40;;02 40 27 46 65;hotelestuaire@wanadoo.fr;www.hotelestuaire.fr;30 chambres;De 51 à 60 Euros;Ouvert toute l'année;Hôtels;;;;;;;;;;;Contact Hotel;;;;;;;;;oui;;;oui;;anglais;;;;;;oui;;30;[ 47.247906 , -2.14668]
101;B&B HOTEL NANTES SAINT HERBLAIN;rue du Moulin de la Rousselière - D201;;44800;SAINT-HERBLAIN;;08 92 78 01 11;;02 51 79 43 00;bb_4504@hotelbb.com;;72 chambres;De 47 à 48 Euros;;Hôtels;;;;;;;;;;;;;;;;CléVerte;;;;oui;;;oui;;allemand;anglais;;;;;oui;;72;[ 47.2325203 , -1.64561757]
102;HOTEL F1 - SAINT HERBLAIN;4, Rue des Piliers de la Chauvinière;;44800;SAINT-HERBLAIN;;08 91 70 53 37;;02 40 63 64 71;;www.hotelformule1.com;63 chambres;De 32 à 41 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;anglais;;;;;;;;63;[ 47.2296141 , -1.6338768]
103;PREMIERE CLASSE - SAINT HERBLAIN;Rue du Moulin de la Rousselière;CP 4103;44800;SAINT-HERBLAIN;;08 92 70 70 24;;02 40 63 13 11;premiereclasse.nantes@shfrance.com;www.premiereclasse.fr;60 chambres;De 40 à 47 Euros;;Hôtels;;;;;;;;;;;Première Classe;;;;;;;;;oui;;;oui;;anglais;espagnol;;;;;oui;;60;[ 47.2144177 , -1.6388837]
104;ETAP HOTEL NANTES NORD SAINT HERBLAIN;Avenue des Lions;;44800;SAINT-HERBLAIN;;02 28 01 74 37;;02 28 01 74 36;h6674@accor.com;;70 chambres;;;Hôtels;;;;;;;;;;;Etap Hotel;;;;;;;;;oui;;;oui;;anglais;;;;;;oui;;70;[ 47.2484091 , -1.6193691]
105;AGIL;Route de Saint Etienne de Montluc;Zone Atlantis;44800;SAINT-HERBLAIN;;02 40 92 04 10;;02 40 92 05 27;;;38 chambres;De 36 à 38 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;;;;;;;oui;;38;[ 47.2319122 , -1.6343515]
106;ATLANTYS HOTEL;8 rue des cochardières;Zac Armor;44800;SAINT-HERBLAIN;;02 40 63 99 63;;02 40 34 36 54;atlantys.hotel@wanadoo.fr;www.atlantys-hotel.fr;49 chambres;De 50 à 120 Euros;;Hôtels;;;;;;;;;;;Brit Hotel;;;;;CléVerte;;;;oui;;;oui;;anglais;espagnol;;;;;oui;;49;[ 47.2277557 , -1.6330708]
107;BALLADINS NANTES SAINT HERBLAIN;1, Rue des Piliers de la Chauvinière;;44800;SAINT-HERBLAIN;;02 40 63 95 63;;02 40 63 89 85;contact@aulizen.fr;www.aulizen.fr;50 chambres;De 50 à 68 Euros;;Hôtels;;;;;;;;;;;;;;Hotel Cert;;;;;;oui;;;oui;;anglais;espagnol;;;;;oui;;50;[ 47.2296592 , -1.6340139]
108;KYRIAD SAINT-HERBLAIN;Esplanade Ella Fitzgerald;ZAC Armor;44800;SAINT-HERBLAIN;;02 72 01 00 00;;02 72 01 00 01;nantes.stherblain@kyriad.fr;;70 chambres;De 79 à 150 Euros;;Hôtels;;;;;;;;;;;Kyriad;;;;;;;;;oui;;;oui;;anglais;espagnol;italien;;;;oui;;70;[ 47.2144177 , -1.6388837]
109;LA COTE DE JADE;2, avenue de Bretagne;Tharon Plage;44730;SAINT-MICHEL-CHEF-CHEF;;02 40 27 82 31;06 85 66 73 28;02 40 64 90 73;hotellacotedejade@orange.fr;;7 chambres;A parir de 68 Euros;A l'année (sur réservation du 1 oct au 1 avr);Hôtels;;;;;;;;;;;;;;;;;;;;;;;oui;;anglais;espagnol;;;;;;;7;[ 47.1668699 , -2.1662878]
110;BRIT HOTEL LE KORALI;2, rue du Commandant l'Herminier;Place Pierre Sémard;44600;SAINT-NAZAIRE;;02 40 01 89 89;;02 40 66 47 96;hotelkorali@wanadoo.fr;www.hotelkorali.fr;55 chambres;De 60 à 65 Euros;;Hôtels;;;;;;;;;;;Brit Hotel;;;;;;;;;;;;oui;oui;anglais;espagnol;;;;;oui;;55;[ 47.2896954 , -2.2614914]
111;HOLIDAY INN EXPRESS;1 rue de la Floride;;44600;SAINT-NAZAIRE;;02 40 19 01 01;;02 40 19 01 04;resa@hie44600.com;www.hotelsaintnazaire.com;75 chambres;De 85 à 150 Euros;;Hôtels;;;;;;oui;oui;;oui;;Holiday In Express;;;;;;;;;oui;;;oui;;allemand;anglais;espagnol;;;;;;75;[ 47.2896954 , -2.2614914]
112;LA BELLE EPEE;45, rue Jean Jaurès;;44600;SAINT-NAZAIRE;;02 40 22 55 93;;02 40 01 85 95;sarl-hotel-labelleepee@wanadoo.fr;www.citotel.com;11 chambres;De 46 à 67 Euros;;Hôtels;;;;;;;;;;;Citotel;;;;;;;;;;;;;;anglais;;;;;;oui;;11;[ 47.2794449 , -2.2105174]
113;LE BRETAGNE;7, avenue de la République;;44600;SAINT-NAZAIRE;;02 51 76 30 00;;02 51 76 30 30;info@hotel-le-bretagne.com;www.hotel-le-bretagne.com;32 chambres;De 51 à 69 Euros;;Hôtels;;;;;;;;;;;Contact Hotel;;;;;;;;;oui;;;oui;;anglais;;;;;;oui;;32;[ 47.2748482 , -2.2136119]
114;LE DAUPHIN;33, rue Jean Jaurès;;44600;SAINT-NAZAIRE;;02 40 66 59 61;;02 40 01 87 63;hoteldauphin@wanadoo.fr;www.hotel-ledauphin-stnazaire.com;21 chambres;De 36 à 65 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;;;;oui;;anglais;;;;;;oui;;21;[ 47.2794933 , -2.2095381]
115;L'EUROPE;2, place des Martyrs de la Résistance;;44600;SAINT-NAZAIRE;;02 40 22 49 87;;02 40 66 23 28;hoteldeleurope@free.fr;www.hoteldeleurope-saintnazaire.com;33 chambres;De 49,5 à 69 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;allemand;anglais;italien;;;;oui;;33;[ 47.279284 , -2.215215]
116;LE SAINT LOUIS;48, rue des Halles;;44600;SAINT-NAZAIRE;;02 40 22 40 34;;02 40 22 63 43;;www.le-saint-louis.hotels.officelive.com;21 chambres;De 32 à 52 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;oui;;21;[ 47.2799199 , -2.2149658]
117;LE TOURAINE;4, avenue de la République;;44600;SAINT-NAZAIRE;;02 40 22 47 56;;02 40 22 55 05;hoteltouraine@free.fr;www.hotel-de-touraine.com;18 chambres;De 36 à 50 Euros;;Hôtels;;;;;;;;;;;;;;Hotel Cert;;;;;;oui;;;oui;;anglais;;;;;;oui;;18;[ 47.2745785 , -2.2134488]
118;HOTEL ANAIADE;45 route de Fondeline;ZA de Brais;44600;SAINT-NAZAIRE;;02 40 19 52 52;;02 40 15 01 47;ha4411@inter-hotel.com;www.inter-hotel.fr;30 chambres;De 64 à 85 Euros;;Hôtels;;;;;;;;;;;Inter Hotel;;;;;;;;;oui;;;;;anglais;;;;;;oui;;30;[ 47.2859874 , -2.2956486]
119;BEL HOTEL;42, avenue Jean Burel;;44460;SAINT-NICOLAS-DE-REDON;;02 99 71 10 10;;02 99 72 33 03;bienvenue@bel-hotel.com;www.bel-hotel.com;30 chambres;;;Hôtels;;;;;;;;;;;;;;Hotel Cert;;;;;;oui;;;oui;;;;;;;;oui;;30;[ 47.6476422 , -2.0820597]
120;B&B HÔTEL NANTES SAINT SEBASTIEN;10, Avenue Jules Verne;Parc tertiaire des Grésillières;44230;SAINT-SEBASTIEN-SUR-LOIRE;;08 92 70 75 48;;02 40 80 54 88;bb_4342@hotelbb.com;www.hotelbb.com;70 chambres;De 39 à 47 Euros;;Hôtels;;;;;;;;;;;;;;;;CléVerte;;;;oui;;;oui;;anglais;;;;;;oui;;70;[ 47.1995473 , -1.5018762]
121;PREMIERE CLASSE - SAINT SEBASTIEN SUR LOIRE;1, Avenue Jules Verne;PA des Grésillières;44230;SAINT-SEBASTIEN-SUR-LOIRE;;02 40 80 79 80;;02 51 79 01 68;nantes.stsebastien@premiereclasse.fr;www.premiereclasse.fr;70 chambres;De 39 à 45 Euros;;Hôtels;;;;;;;;;;;Première Classe;;;;;;;;;oui;;;oui;;anglais;;;;;;oui;;70;[ 47.1995473 , -1.5018762]
122;LE RELAIS DE NANTES - PREMIER PRIX HOTEL;16, Rue Marcel Dassault;ZAC de la Maion Neuve;44980;SAINTE-LUCE-SUR-LOIRE;;02 40 25 99 19;;02 40 25 65 33;info@relaisdenantes.com;www.hotels-residences.fr;68 chambres;De 34 à 34 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;anglais;;;;;;oui;;68;[ 47.2487446 , -1.4731207]
123;PREMIERE CLASSE - SAINTE LUCE SUR LOIRE;2, Rue Louis Armand;;44980;SAINTE-LUCE-SUR-LOIRE;;02 28 01 41 90;;02 51 85 01 38;1ereclasse.steluce@wanadoo.fr;www.premiereclasse.fr;44 chambres;De 42 à 47 Euros;;Hôtels;;;;;;;;;;;Première Classe;;;;;;;;;oui;;;oui;;;;;;;;oui;;44;[ 47.2642498 , -1.4870483]
124;APARTE (L');Domaine des Thébaudières;Rue d'Amsterdam;44980;SAINTE-LUCE-SUR-LOIRE;;02 28 01 46 66;;02 28 01 46 67;contact@hotel-aparte.fr;www.hotel-aparte.fr;29 chambres;De 39 à 55,5 Euros;;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;anglais;;;;;;oui;;29;[ 47.2537069 , -1.4760423]
125;ETAP HOTEL - SAINTE LUCE SUR LOIRE;4, Rue Gustave Eiffel;;44980;SAINTE-LUCE-SUR-LOIRE;;08 92 68 08 89;;02 40 25 89 82;H3581@accor.com;www.etaphotel.com;58 chambres;De 39 à 60 Euros;;Hôtels;;;;;;;;;;;Etap Hotel;;;Hotel Cert;;;;;;oui;;;oui;;anglais;;;;;;oui;;58;[ 47.2632155 , -1.4859532]
126;HOTEL PREMIERE CLASSE;rue des Aigrettes;ZAC des Savines;44570;TRIGNAC;;02 40 90 27 78;;02 40 45 80 02;stnazaire.trignac@premiereclasse.fr;www.premiereclasse.com;69 chambres;De 35 à 46 Euros;;Hôtels;;;;;;;;;oui;;Première Classe;;;;;;;;;oui;;;oui;;anglais;;;;;;oui;;69;[ 47.3152507 , -2.2049379]
127;HOTEL F1;Rue des Aigrettes;Zac de savine;44570;TRIGNAC;;08 91 70 53 86;;02 40 90 21 23;H2223@accor.com;www.hotelf1.com;75 chambres;De 36 à 39 Euros;;Hôtels;;;;;;;;;oui;;;;;;;;;;;oui;;;oui;;anglais;;;;;;oui;;75;[ 47.3152507 , -2.2049379]
128;IBIS ;5, rue la fontaine au brun;;44570;TRIGNAC;;02 40 90 39 39;;02 40 90 19 49;H0858@accor.com;www.ibisatlantique.fr;62 chambres;De 62 à 92 Euros;;Hôtels;;;;;;;;;;;Ibis;;;;;;;;;oui;Piscine;;oui;oui;allemand;anglais;espagnol;;;;oui;;62;[ 47.3001245 , -2.2087425]
129;HOTEL B&B;Rue des Aigrettes;Zac de savine;44570;TRIGNAC;;08 92 78 80 96;;02 51 16 00 16;bb_4107@hotelbb.com;www.hotel-bb.com;71 chambres;De 44 à 67 Euros;;Hôtels;;;;;;;;;;;;;;;;CléVerte;;;;oui;;;oui;;allemand;anglais;;;;;oui;;71;[ 47.2940555 , -2.2099579]
130;CLAIR DE LIE;;43 rue Saint Vincent;44330;VALLET;;02 40 33 92 55;;02 40 36 39 66;clairdelie@orange.fr;www.clairdelie.com;22 chambres;A partir de 46 Euros;Ouvert toute l'année;Hôtels;;oui;;;;;;;;;;;;;;;;;oui;oui;;;oui;;anglais;;;;;;oui;;22;[ 47.161737 , -1.27465]
131;LE DON QUICHOTTE;35 route de Clisson;;44330;VALLET;;02 40 33 99 67;;02 40 33 99 72;;www.logisdefrance-paysdelaloire.com;12 chambres;A partir de 58.50 Euros;;Hôtels;;;;;;;;;;1 cocotte;;;;;;;;;oui;oui;;;oui;;anglais;;;;;;oui;;12;[ 47.158622 , -1.271169]
132;LA HAUTE FORET;;53 bd de l'Europe;44120;VERTOU;;02 40 34 01 74;;02 51 71 24 23;lahauteforet@wanadoo.fr;www.la-haute-foret.com;34 chambres;;Ouvert toute l'année;Hôtels;;;;;;;;;;1 cocotte;;;;;;;;;;oui;;;;;anglais;;;;;;oui;;34;[ 47.1692295 , -1.4661752]
133;LE LAURIER FLEURI;460 Route de Clisson;;44120;VERTOU;;02 51 79 01 01;;02 51 79 01 50;relaislaurierfleuri@orange.fr;www.lelaurierfleuri.fr;10 chambres;De 87 à 1 Euros;Ouvert toute l'année;Hôtels;;;;;;;;;;1 cocotte;;;;;;;;;oui;oui;;;;oui;anglais;;;;;;oui;;10;[ 47.1561441 , -1.4631465]
134;LE BEAUTOUR;51 route de Nantes;;44120;VERTOU;;02 40 34 59 11;;02 40 03 27 47;dauvergne.jean-luc@orange.fr;www.hotel-lebeautour.com;13 chambres;A partir de 65 Euros;Ouvert toute l'année;Hôtels;;;;;;;;;;;;;;;;;;;;oui;;;oui;;allemand;anglais;espagnol;italien;;;;;13;[ 47.1813106 , -1.5121498]
135;HOTEL TEST;11 rue du Chateau;La roselière;44300;NANTES;;02 51 72 95 30;;240204454;info@ohlaloireatlantique.com;www.ohlaloireatlantique.com;30 Chambres, 20 Suites;De 50 euros à 120 euros;Ouvert toute l'année;Hôtels;;oui;;oui;;oui;oui;oui;oui;;Brit Hotel;Gault Millau;;;;;;Nantes et environs;oui;oui;Piscine;oui;oui;oui;anglais;français;;;;;oui;;50;[ 47.2336281 , -1.5088934]
